regiao,data,temperatura_maxima,temperatura_minima,precipitacao_total,amplitude_termica
Plano Piloto,2025-12-24,26.7,17.5,0.3,9.2
Plano Piloto,2025-12-25,28.0,18.3,0.2,9.7
Plano Piloto,2025-12-26,29.0,18.4,0.0,10.600000000000001
Plano Piloto,2025-12-27,30.1,17.7,0.4,12.400000000000002
Plano Piloto,2025-12-28,28.8,18.3,12.4,10.5
Plano Piloto,2025-12-29,27.7,18.2,0.9,9.5
Plano Piloto,2025-12-30,26.4,17.7,0.9,8.7
Asa Norte,2025-12-24,27.4,18.2,0.3,9.2
Asa Norte,2025-12-25,28.6,19.0,0.2,9.600000000000001
Asa Norte,2025-12-26,29.6,19.1,0.0,10.5
Asa Norte,2025-12-27,30.8,18.4,0.4,12.400000000000002
Asa Norte,2025-12-28,29.5,19.0,12.4,10.5
Asa Norte,2025-12-29,28.4,18.9,0.9,9.5
Asa Norte,2025-12-30,27.1,18.4,0.9,8.700000000000003
Asa Sul,2025-12-24,27.3,18.1,0.3,9.2
Asa Sul,2025-12-25,28.5,18.9,0.2,9.600000000000001
Asa Sul,2025-12-26,29.5,19.0,0.0,10.5
Asa Sul,2025-12-27,30.7,18.2,0.4,12.5
Asa Sul,2025-12-28,29.3,18.9,12.4,10.400000000000002
Asa Sul,2025-12-29,28.2,18.7,0.9,9.5
Asa Sul,2025-12-30,27.0,18.2,0.9,8.8
Taguatinga,2025-12-24,28.1,17.2,0.1,10.900000000000002
Taguatinga,2025-12-25,29.2,18.0,0.7,11.2
Taguatinga,2025-12-26,29.8,16.2,2.8,13.600000000000001
Taguatinga,2025-12-27,31.0,18.0,1.2,13.0
Taguatinga,2025-12-28,29.1,18.6,12.7,10.5
Taguatinga,2025-12-29,29.7,18.8,0.0,10.899999999999999
Taguatinga,2025-12-30,28.3,18.9,0.6,9.400000000000002
Ceilândia,2025-12-24,27.5,16.6,0.1,10.899999999999999
Ceilândia,2025-12-25,28.6,17.4,0.7,11.200000000000003
Ceilândia,2025-12-26,29.2,15.6,2.8,13.6
Ceilândia,2025-12-27,30.4,17.4,1.2,13.0
Ceilândia,2025-12-28,28.5,18.0,12.7,10.5
Ceilândia,2025-12-29,29.1,18.2,0.0,10.900000000000002
Ceilândia,2025-12-30,27.7,18.3,0.6,9.399999999999999
Samambaia,2025-12-24,27.6,16.7,0.1,10.900000000000002
Samambaia,2025-12-25,28.8,17.5,0.7,11.3
Samambaia,2025-12-26,29.4,15.7,2.8,13.7
Samambaia,2025-12-27,30.6,17.6,1.2,13.0
Samambaia,2025-12-28,28.7,18.1,12.7,10.599999999999998
Samambaia,2025-12-29,29.3,18.4,0.0,10.900000000000002
Samambaia,2025-12-30,27.8,18.4,0.6,9.400000000000002
Sobradinho,2025-12-24,27.0,17.9,0.2,9.100000000000001
Sobradinho,2025-12-25,28.2,18.7,0.3,9.5
Sobradinho,2025-12-26,29.4,19.3,0.0,10.099999999999998
Sobradinho,2025-12-27,30.4,18.1,0.3,12.299999999999997
Sobradinho,2025-12-28,29.0,18.3,12.1,10.7
Sobradinho,2025-12-29,27.8,18.8,1.5,9.0
Sobradinho,2025-12-30,27.0,18.0,1.2,9.0
Planaltina,2025-12-24,28.0,18.6,0.2,9.399999999999999
Planaltina,2025-12-25,29.5,20.4,0.2,9.100000000000001
Planaltina,2025-12-26,30.7,20.5,0.0,10.2
Planaltina,2025-12-27,31.7,19.1,0.2,12.599999999999998
Planaltina,2025-12-28,29.8,19.7,11.8,10.100000000000001
Planaltina,2025-12-29,29.1,19.9,2.7,9.200000000000003
Planaltina,2025-12-30,29.0,19.6,0.6,9.399999999999999
Gama,2025-12-24,28.5,16.2,0.0,12.3
Gama,2025-12-25,29.3,16.9,0.3,12.400000000000002
Gama,2025-12-26,31.0,15.8,0.1,15.2
Gama,2025-12-27,31.9,18.1,0.7,13.799999999999997
Gama,2025-12-28,27.9,18.3,9.4,9.599999999999998
Gama,2025-12-29,29.6,17.7,0.0,11.900000000000002
Gama,2025-12-30,28.6,18.1,0.6,10.5
Guará,2025-12-24,27.5,17.8,0.0,9.7
Guará,2025-12-25,28.8,18.2,0.4,10.600000000000001
Guará,2025-12-26,30.2,17.9,0.0,12.3
Guará,2025-12-27,31.3,18.3,0.4,13.0
Guará,2025-12-28,28.5,18.7,13.6,9.8
Guará,2025-12-29,28.5,18.7,0.6,9.8
Guará,2025-12-30,28.2,18.6,1.2,9.599999999999998
Núcleo Bandeirante,2025-12-24,28.0,18.3,0.0,9.7
Núcleo Bandeirante,2025-12-25,29.3,18.6,0.4,10.7
Núcleo Bandeirante,2025-12-26,30.6,18.3,0.0,12.3
Núcleo Bandeirante,2025-12-27,31.7,18.7,0.4,13.0
Núcleo Bandeirante,2025-12-28,29.0,19.2,13.6,9.8
Núcleo Bandeirante,2025-12-29,29.0,19.2,0.6,9.8
Núcleo Bandeirante,2025-12-30,28.7,19.0,1.2,9.7
Paranoá,2025-12-24,26.7,18.3,0.1,8.399999999999999
Paranoá,2025-12-25,28.0,19.5,0.2,8.5
Paranoá,2025-12-26,29.3,19.9,0.0,9.400000000000002
Paranoá,2025-12-27,30.2,18.1,0.4,12.099999999999998
Paranoá,2025-12-28,28.6,19.6,9.2,9.0
Paranoá,2025-12-29,27.8,19.5,0.9,8.3
Paranoá,2025-12-30,27.3,18.6,0.6,8.7
Itapoã,2025-12-24,26.7,18.3,0.1,8.399999999999999
Itapoã,2025-12-25,28.0,19.5,0.2,8.5
Itapoã,2025-12-26,29.3,19.9,0.0,9.400000000000002
Itapoã,2025-12-27,30.2,18.1,0.4,12.099999999999998
Itapoã,2025-12-28,28.6,19.6,9.2,9.0
Itapoã,2025-12-29,27.8,19.5,0.9,8.3
Itapoã,2025-12-30,27.3,18.6,0.6,8.7
Jardim Botânico,2025-12-24,27.8,19.6,0.1,8.2
Jardim Botânico,2025-12-25,29.0,20.3,0.2,8.7
Jardim Botânico,2025-12-26,30.3,20.2,0.0,10.100000000000001
Jardim Botânico,2025-12-27,31.7,19.3,0.2,12.399999999999999
Jardim Botânico,2025-12-28,27.7,20.6,9.7,7.099999999999998
Jardim Botânico,2025-12-29,28.5,20.3,5.1,8.2
Jardim Botânico,2025-12-30,28.6,19.6,0.3,9.0
Lago Sul,2025-12-24,27.7,19.6,0.2,8.099999999999998
Lago Sul,2025-12-25,28.9,20.0,0.1,8.899999999999999
Lago Sul,2025-12-26,30.2,20.3,0.0,9.899999999999999
Lago Sul,2025-12-27,31.5,18.7,0.3,12.8
Lago Sul,2025-12-28,28.3,19.6,10.6,8.7
Lago Sul,2025-12-29,28.6,18.8,8.1,9.8
Lago Sul,2025-12-30,28.7,18.4,0.9,10.3
Lago Norte,2025-12-24,27.5,18.3,0.3,9.2
Lago Norte,2025-12-25,28.8,19.1,0.2,9.7
Lago Norte,2025-12-26,29.8,19.2,0.0,10.600000000000001
Lago Norte,2025-12-27,30.9,18.5,0.4,12.399999999999999
Lago Norte,2025-12-28,29.6,19.1,12.4,10.5
Lago Norte,2025-12-29,28.5,19.0,0.9,9.5
Lago Norte,2025-12-30,27.2,18.5,0.9,8.7
Candangolândia,2025-12-24,27.9,18.2,0.0,9.7
Candangolândia,2025-12-25,29.2,18.6,0.4,10.599999999999998
Candangolândia,2025-12-26,30.6,18.3,0.0,12.3
Candangolândia,2025-12-27,31.7,18.7,0.4,13.0
Candangolândia,2025-12-28,28.9,19.1,13.6,9.799999999999997
Candangolândia,2025-12-29,28.9,19.1,0.6,9.799999999999997
Candangolândia,2025-12-30,28.6,19.0,1.2,9.600000000000001
Varjão,2025-12-24,27.5,18.3,0.3,9.2
Varjão,2025-12-25,28.8,19.1,0.2,9.7
Varjão,2025-12-26,29.8,19.2,0.0,10.600000000000001
Varjão,2025-12-27,30.9,18.5,0.4,12.399999999999999
Varjão,2025-12-28,29.6,19.1,12.4,10.5
Varjão,2025-12-29,28.5,19.0,0.9,9.5
Varjão,2025-12-30,27.2,18.5,0.9,8.7
SIA,2025-12-24,28.0,18.0,0.2,10.0
SIA,2025-12-25,29.3,18.7,0.7,10.600000000000001
SIA,2025-12-26,29.7,18.4,0.7,11.3
SIA,2025-12-27,31.5,18.5,1.0,13.0
SIA,2025-12-28,29.6,19.3,20.8,10.3
SIA,2025-12-29,29.2,19.6,0.0,9.599999999999998
SIA,2025-12-30,27.8,19.2,0.6,8.600000000000001
Sudoeste,2025-12-24,26.7,17.5,0.3,9.2
Sudoeste,2025-12-25,28.0,18.3,0.2,9.7
Sudoeste,2025-12-26,29.0,18.4,0.0,10.600000000000001
Sudoeste,2025-12-27,30.1,17.7,0.4,12.400000000000002
Sudoeste,2025-12-28,28.8,18.3,12.4,10.5
Sudoeste,2025-12-29,27.7,18.2,0.9,9.5
Sudoeste,2025-12-30,26.4,17.7,0.9,8.7
Santa Maria,2025-12-24,27.6,16.2,0.1,11.400000000000002
Santa Maria,2025-12-25,28.7,16.8,0.1,11.899999999999999
Santa Maria,2025-12-26,30.3,16.2,0.0,14.100000000000001
Santa Maria,2025-12-27,31.4,17.9,0.5,13.5
Santa Maria,2025-12-28,27.2,17.7,8.8,9.5
Santa Maria,2025-12-29,28.5,17.8,0.0,10.7
Santa Maria,2025-12-30,27.6,18.2,0.9,9.400000000000002
São Sebastião,2025-12-24,28.1,20.0,0.1,8.100000000000001
São Sebastião,2025-12-25,29.4,20.6,0.2,8.799999999999997
São Sebastião,2025-12-26,30.6,20.5,0.0,10.100000000000001
São Sebastião,2025-12-27,32.0,19.6,0.2,12.399999999999999
São Sebastião,2025-12-28,28.1,21.0,9.7,7.100000000000001
São Sebastião,2025-12-29,28.8,20.6,5.1,8.2
São Sebastião,2025-12-30,29.0,19.9,0.3,9.100000000000001
Recanto das Emas,2025-12-24,27.7,16.8,0.1,10.899999999999999
Recanto das Emas,2025-12-25,28.9,17.6,0.7,11.299999999999997
Recanto das Emas,2025-12-26,29.5,15.8,2.8,13.7
Recanto das Emas,2025-12-27,30.7,17.7,1.2,13.0
Recanto das Emas,2025-12-28,28.8,18.2,12.7,10.600000000000001
Recanto das Emas,2025-12-29,29.4,18.5,0.0,10.899999999999999
Recanto das Emas,2025-12-30,27.9,18.5,0.6,9.399999999999999
Riacho Fundo,2025-12-24,26.9,17.2,0.0,9.7
Riacho Fundo,2025-12-25,28.2,17.5,0.4,10.7
Riacho Fundo,2025-12-26,29.5,17.2,0.0,12.3
Riacho Fundo,2025-12-27,30.6,17.6,0.4,13.0
Riacho Fundo,2025-12-28,27.9,18.1,13.6,9.799999999999997
Riacho Fundo,2025-12-29,27.9,18.1,0.6,9.799999999999997
Riacho Fundo,2025-12-30,27.6,17.9,1.2,9.700000000000003
Riacho Fundo II,2025-12-24,26.9,17.2,0.0,9.7
Riacho Fundo II,2025-12-25,28.2,17.5,0.4,10.7
Riacho Fundo II,2025-12-26,29.5,17.2,0.0,12.3
Riacho Fundo II,2025-12-27,30.6,17.6,0.4,13.0
Riacho Fundo II,2025-12-28,27.9,18.1,13.6,9.799999999999997
Riacho Fundo II,2025-12-29,27.9,18.1,0.6,9.799999999999997
Riacho Fundo II,2025-12-30,27.6,17.9,1.2,9.700000000000003
Estrutural,2025-12-24,28.0,18.0,0.2,10.0
Estrutural,2025-12-25,29.3,18.7,0.7,10.600000000000001
Estrutural,2025-12-26,29.7,18.4,0.7,11.3
Estrutural,2025-12-27,31.5,18.5,1.0,13.0
Estrutural,2025-12-28,29.6,19.3,20.8,10.3
Estrutural,2025-12-29,29.2,19.6,0.0,9.599999999999998
Estrutural,2025-12-30,27.8,19.2,0.6,8.600000000000001
Vicente Pires,2025-12-24,27.5,17.5,0.2,10.0
Vicente Pires,2025-12-25,28.8,18.2,0.7,10.600000000000001
Vicente Pires,2025-12-26,29.2,17.9,0.7,11.3
Vicente Pires,2025-12-27,31.0,18.0,1.0,13.0
Vicente Pires,2025-12-28,29.1,18.8,20.8,10.3
Vicente Pires,2025-12-29,28.7,19.1,0.0,9.599999999999998
Vicente Pires,2025-12-30,27.3,18.7,0.6,8.600000000000001
Águas Claras,2025-12-24,27.1,17.4,0.0,9.700000000000003
Águas Claras,2025-12-25,28.4,17.8,0.4,10.599999999999998
Águas Claras,2025-12-26,29.8,17.5,0.0,12.3
Águas Claras,2025-12-27,30.9,17.9,0.4,13.0
Águas Claras,2025-12-28,28.1,18.3,13.6,9.8
Águas Claras,2025-12-29,28.1,18.3,0.6,9.8
Águas Claras,2025-12-30,27.8,18.2,1.2,9.600000000000001
Arniqueira,2025-12-24,27.7,18.0,0.0,9.7
Arniqueira,2025-12-25,29.0,18.4,0.4,10.600000000000001
Arniqueira,2025-12-26,30.4,18.1,0.0,12.299999999999997
Arniqueira,2025-12-27,31.5,18.5,0.4,13.0
Arniqueira,2025-12-28,28.7,18.9,13.6,9.8
Arniqueira,2025-12-29,28.7,18.9,0.6,9.8
Arniqueira,2025-12-30,28.4,18.8,1.2,9.599999999999998
Brazlândia,2025-12-24,28.0,16.7,0.1,11.3
Brazlândia,2025-12-25,28.8,17.0,4.3,11.8
Brazlândia,2025-12-26,27.9,17.5,1.7,10.399999999999999
Brazlândia,2025-12-27,30.2,18.0,0.6,12.2
Brazlândia,2025-12-28,29.1,18.8,10.2,10.3
Brazlândia,2025-12-29,29.1,18.7,0.0,10.400000000000002
Brazlândia,2025-12-30,28.1,18.9,1.2,9.200000000000003
Cruzeiro,2025-12-24,27.0,17.8,0.3,9.2
Cruzeiro,2025-12-25,28.2,18.6,0.2,9.599999999999998
Cruzeiro,2025-12-26,29.2,18.7,0.0,10.5
Cruzeiro,2025-12-27,30.4,17.9,0.4,12.5
Cruzeiro,2025-12-28,29.0,18.6,12.4,10.399999999999999
Cruzeiro,2025-12-29,27.9,18.4,0.9,9.5
Cruzeiro,2025-12-30,26.7,17.9,0.9,8.8
Fercal,2025-12-24,29.0,19.9,0.2,9.100000000000001
Fercal,2025-12-25,30.3,20.8,0.3,9.5
Fercal,2025-12-26,31.4,21.3,0.0,10.099999999999998
Fercal,2025-12-27,32.5,20.2,0.3,12.3
Fercal,2025-12-28,31.1,20.3,12.1,10.8
Fercal,2025-12-29,29.8,20.9,1.5,8.900000000000002
Fercal,2025-12-30,29.1,20.1,1.2,9.0
Park Way,2025-12-24,27.0,18.9,0.2,8.100000000000001
Park Way,2025-12-25,28.2,19.3,0.1,8.899999999999999
Park Way,2025-12-26,29.5,19.6,0.0,9.899999999999999
Park Way,2025-12-27,30.8,18.0,0.3,12.8
Park Way,2025-12-28,27.6,18.9,10.6,8.700000000000003
Park Way,2025-12-29,27.9,18.1,8.1,9.799999999999997
Park Way,2025-12-30,28.0,17.7,0.9,10.3
SCIA,2025-12-24,27.9,18.0,0.2,9.899999999999999
SCIA,2025-12-25,29.3,18.6,0.7,10.7
SCIA,2025-12-26,29.7,18.4,0.7,11.3
SCIA,2025-12-27,31.4,18.5,1.0,12.899999999999999
SCIA,2025-12-28,29.6,19.2,20.8,10.400000000000002
SCIA,2025-12-29,29.1,19.5,0.0,9.600000000000001
SCIA,2025-12-30,27.7,19.1,0.6,8.599999999999998
Sobradinho II,2025-12-24,28.1,19.0,0.2,9.100000000000001
Sobradinho II,2025-12-25,29.4,19.9,0.3,9.5
Sobradinho II,2025-12-26,30.5,20.4,0.0,10.100000000000001
Sobradinho II,2025-12-27,31.6,19.3,0.3,12.3
Sobradinho II,2025-12-28,30.2,19.4,12.1,10.8
Sobradinho II,2025-12-29,28.9,20.0,1.5,8.899999999999999
Sobradinho II,2025-12-30,28.2,19.2,1.2,9.0
